id,id_поста,дата_поста,день_недели,количество_лайков,текст_поста
45,1221,2025-01-05 23:49:10,7,7,Новогодняя песня в рок исполнении 🤘
46,1217,2025-01-05 16:13:32,7,23,Время настольного тенниса 🫡
47,1216,2025-01-04 00:16:16,6,26,[Текст отсутствует]
48,1214,2024-12-31 13:17:07,2,15,"Вот и прошел 2024 год. Многие пишут итоги, напишу и я. Он был непростым, однако подарил весь спектр эмоций, были как победы, так и поражения, радость и грусть, чёрное и белое переплеталось в единый символ вселенной как инь-янь. Однако позитива было больше) Футбольный клуб все ещё жив несмотря ни на что и показывает великолепные результаты, наша волейбольная команда банка показала огромный прогресс и не заметить позитивных изменений и эволюции просто не возможно. Спортивный зал прибавляет энергии, а нынешняя работа все так же увлекает) 
Всем спасибо за этот год и добро пожаловать в следующий 2025 г, а что он нам всем принесет покажет время 😉"
49,1213,2024-12-27 02:13:28,5,15,"Молодцы 🔥 Сегодня были одной командой и отбивали пушечные атаки противника. Как гласит мудрость, хочешь стать лучше, играй с более сильным соперником. И сегодня был именно этот случай. Всем спасибо 😌"
50,1212,2024-12-23 01:21:45,1,6,Прекрасное далеко
51,1211,2024-12-22 15:27:04,7,30,[Текст отсутствует]
52,1210,2024-12-22 15:26:29,7,27,"Посетил юбилей, фотки в студию !)"
53,1201,2024-12-20 23:32:20,5,24,[Текст отсутствует]
54,1199,2024-12-18 01:52:37,3,16,"И вновь продолжается бой, и сердцу тревожно в груди и Газпромбанк такой молодой и дружный коллектив впереди!) Хорошая игра, да это снова поражение, однако и на нашей улице будет праздник 😌👌"
55,1198,2024-12-08 20:51:52,7,20,"Иногда, бывает так, что ты проиграл, однако бился, старался, цеплялся за каждое очко, именно в таких матчах понимаешь собственные силы и на что ты способен, уверен победы придут, а сейчас смотрим и наслаждаемся нарезкой с игры Газпромбанк-ЭФКО в рамках Корпоративной Лиги [club152732225|ВОЛЕЙПЛЮС • Воронежская школа волейбола]"
56,1197,2024-12-03 19:54:50,2,15,Вашему вниманию предоставляются несколько фотографий с исторического центра города Рязани.
57,1196,2024-11-29 01:01:17,5,27,Браво 👏
58,1193,2024-11-14 23:47:54,4,18,Фото с концерта Radio Tapok 10.10.24  в студию !)
59,1188,2024-11-07 23:55:30,4,36,"Просто оставлю это здесь, комментарии излишни😌"
60,1186,2024-10-11 00:58:57,5,13,Немного атмосферы с концерта 🤘
89,1100,2023-05-20 23:08:37,6,1,Супер отрезок из сериала «Тед Лассо»
90,1099,2023-05-10 23:14:13,3,2,👍
139,522,2013-01-27 19:15:45,7,14,[Текст отсутствует]
140,490,2012-10-12 20:16:13,5,5,"Зырянов: ""Я считаю, что сборная России выиграет у Португалии со счётом 1:0. Был бы очень рад, если бы забил Кержаков"""
141,437,2012-04-22 11:45:20,7,10,Думбия
